world_id,span,absence_case,imputation,duplicates,config_set,correlation_type,measure,min_rows,exclude,threshold,n_concordant,concordant,n_assessed,changed,joiners,leavers
span=D__case=A,D,A,,artefact,all,pearson,mean,3,none,0.1,8,113 190 294 398 473 702 917 939,14,False,,
span=D__case=A,D,A,,artefact,all,pearson,mean,3,none,0.25,7,113 190 294 473 702 917 939,14,False,,
span=D__case=A,D,A,,artefact,all,pearson,mean,3,none,0.5,4,294 473 702 917,14,False,,
span=D__case=A,D,A,,artefact,all,pearson,mean,3,none,0.75,2,702 917,14,False,,
span=D__case=A,D,A,,artefact,all,pearson,mean,3,none,0.9,1,917,14,False,,
span=D__case=A,D,A,,artefact,all,pearson,median,3,none,0.1,8,113 190 294 398 473 702 917 939,14,False,,
span=D__case=A,D,A,,artefact,all,pearson,median,3,none,0.25,8,113 190 294 398 473 702 917 939,14,False,,
span=D__case=A,D,A,,artefact,all,pearson,median,3,none,0.5,5,190 294 473 702 917,14,False,,
span=D__case=A,D,A,,artefact,all,pearson,median,3,none,0.75,3,473 702 917,14,False,,
span=D__case=A,D,A,,artefact,all,pearson,median,3,none,0.9,1,917,14,False,,
span=D__case=A,D,A,,artefact,all,spearman,mean,3,none,0.1,8,113 190 294 398 473 702 917 939,14,False,,
span=D__case=A,D,A,,artefact,all,spearman,mean,3,none,0.25,7,113 190 294 473 702 917 939,14,False,,
span=D__case=A,D,A,,artefact,all,spearman,mean,3,none,0.5,4,294 473 702 917,14,False,,
span=D__case=A,D,A,,artefact,all,spearman,mean,3,none,0.75,2,702 917,14,False,,
span=D__case=A,D,A,,artefact,all,spearman,mean,3,none,0.9,1,917,14,False,,
span=D__case=A,D,A,,artefact,all,spearman,median,3,none,0.1,8,113 190 294 398 473 702 917 939,14,False,,
span=D__case=A,D,A,,artefact,all,spearman,median,3,none,0.25,8,113 190 294 398 473 702 917 939,14,False,,
span=D__case=A,D,A,,artefact,all,spearman,median,3,none,0.5,5,190 294 473 702 917,14,False,,
span=D__case=A,D,A,,artefact,all,spearman,median,3,none,0.75,2,702 917,14,False,,
span=D__case=A,D,A,,artefact,all,spearman,median,3,none,0.9,1,917,14,False,,
span=D__case=A,D,A,,artefact,effective,pearson,mean,3,none,0.1,8,113 190 294 398 473 702 917 939,14,False,,
span=D__case=A,D,A,,artefact,effective,pearson,mean,3,none,0.25,8,113 190 294 398 473 702 917 939,14,False,,
span=D__case=A,D,A,,artefact,effective,pearson,mean,3,none,0.5,4,190 473 702 917,14,False,,
span=D__case=A,D,A,,artefact,effective,pearson,mean,3,none,0.75,2,702 917,14,False,,
span=D__case=A,D,A,,artefact,effective,pearson,mean,3,none,0.9,1,917,14,False,,
span=D__case=A,D,A,,artefact,effective,pearson,median,3,none,0.1,8,113 190 294 398 473 702 917 939,14,False,,
span=D__case=A,D,A,,artefact,effective,pearson,median,3,none,0.25,8,113 190 294 398 473 702 917 939,14,False,,
span=D__case=A,D,A,,artefact,effective,pearson,median,3,none,0.5,6,190 294 398 473 702 917,14,False,,
span=D__case=A,D,A,,artefact,effective,pearson,median,3,none,0.75,2,702 917,14,True,,190
span=D__case=A,D,A,,artefact,effective,pearson,median,3,none,0.9,1,917,14,False,,
span=D__case=A,D,A,,artefact,effective,spearman,mean,3,fostair,0.1,6,113 190 294 398 473 702,11,False,,
span=D__case=A,D,A,,artefact,effective,spearman,mean,3,fostair,0.25,6,113 190 294 398 473 702,11,False,,
span=D__case=A,D,A,,artefact,effective,spearman,mean,3,fostair,0.5,2,190 702,11,False,,
span=D__case=A,D,A,,artefact,effective,spearman,mean,3,fostair,0.75,1,702,11,False,,
span=D__case=A,D,A,,artefact,effective,spearman,mean,3,fostair,0.9,0,,11,False,,
span=D__case=A,D,A,,artefact,effective,spearman,mean,3,none,0.1,8,113 190 294 398 473 702 917 939,14,False,,
span=D__case=A,D,A,,artefact,effective,spearman,mean,3,none,0.25,8,113 190 294 398 473 702 917 939,14,False,,
span=D__case=A,D,A,,artefact,effective,spearman,mean,3,none,0.5,3,190 702 917,14,False,,
span=D__case=A,D,A,,artefact,effective,spearman,mean,3,none,0.75,2,702 917,14,False,,
span=D__case=A,D,A,,artefact,effective,spearman,mean,3,none,0.9,1,917,14,False,,
span=D__case=A,D,A,,artefact,effective,spearman,mean,5,none,0.1,8,113 190 294 398 473 702 917 939,14,False,,
span=D__case=A,D,A,,artefact,effective,spearman,mean,5,none,0.25,8,113 190 294 398 473 702 917 939,14,False,,
span=D__case=A,D,A,,artefact,effective,spearman,mean,5,none,0.5,3,190 702 917,14,False,,
span=D__case=A,D,A,,artefact,effective,spearman,mean,5,none,0.75,2,702 917,14,False,,
span=D__case=A,D,A,,artefact,effective,spearman,mean,5,none,0.9,1,917,14,False,,
span=D__case=A,D,A,,artefact,effective,spearman,mean,20,none,0.1,6,113 294 398 473 702 939,10,True,,190
span=D__case=A,D,A,,artefact,effective,spearman,mean,20,none,0.25,6,113 294 398 473 702 939,10,True,,190
span=D__case=A,D,A,,artefact,effective,spearman,mean,20,none,0.5,2,398 702,10,True,,190
span=D__case=A,D,A,,artefact,effective,spearman,mean,20,none,0.75,2,398 702,10,True,,190
span=D__case=A,D,A,,artefact,effective,spearman,mean,20,none,0.9,0,,10,False,,
span=D__case=A,D,A,,artefact,effective,spearman,mean,37,none,0.1,5,113 294 473 702 939,7,True,,190
span=D__case=A,D,A,,artefact,effective,spearman,mean,37,none,0.25,5,113 294 473 702 939,7,True,,190
span=D__case=A,D,A,,artefact,effective,spearman,mean,37,none,0.5,1,702,7,True,,190
span=D__case=A,D,A,,artefact,effective,spearman,mean,37,none,0.75,1,702,7,True,,190
span=D__case=A,D,A,,artefact,effective,spearman,mean,37,none,0.9,1,702,7,False,,
span=D__case=A,D,A,,artefact,effective,spearman,median,3,none,0.1,8,113 190 294 398 473 702 917 939,14,False,,
span=D__case=A,D,A,,artefact,effective,spearman,median,3,none,0.25,8,113 190 294 398 473 702 917 939,14,False,,
span=D__case=A,D,A,,artefact,effective,spearman,median,3,none,0.5,5,190 294 398 702 917,14,False,,
span=D__case=A,D,A,,artefact,effective,spearman,median,3,none,0.75,2,702 917,14,True,,190
span=D__case=A,D,A,,artefact,effective,spearman,median,3,none,0.9,1,917,14,False,,
span=D__case=A,D,A,,artefact,effective_lookahead,pearson,mean,3,none,0.1,8,113 190 294 398 473 702 917 939,14,False,,
span=D__case=A,D,A,,artefact,effective_lookahead,pearson,mean,3,none,0.25,7,113 190 294 473 702 917 939,14,False,,
span=D__case=A,D,A,,artefact,effective_lookahead,pearson,mean,3,none,0.5,4,294 473 702 917,14,False,,
