world_id,span,absence_case,duplicates,n_concordant,concordant,n_assessed,changed,joiners,leavers,imputations
span=union__case=A,union,A,artefact,3,190 702 917,15,False,,,
span=union__case=B,union,B,artefact,0,,15,True,,190 702 917,398:5/10; 702:5/10
span=union__case=C,union,C,artefact,3,294 473 702,13,True,294 473,190 917,
span=Q__case=A,Q,A,artefact,2,190 702,15,True,,917,
span=Q__case=B,Q,B,artefact,0,,15,True,,190 702 917,702:1/10
span=Q__case=C,Q,C,artefact,3,294 473 702,13,True,294 473,190 917,
span=D__case=A,D,A,artefact,3,190 702 917,14,False,,,
span=D__case=B,D,B,artefact,0,,14,True,,190 702 917,702:6/10; 398:5/10
span=D__case=C,D,C,artefact,3,294 473 702,12,True,294 473,190 917,
span=intersection__case=A,intersection,A,artefact,2,190 702,14,True,,917,
span=intersection__case=B,intersection,B,artefact,0,,14,True,,190 702 917,702:2/10
span=intersection__case=C,intersection,C,artefact,3,294 473 702,12,True,294 473,190 917,
span=union__case=A__dup=real,union,A,real,2,190 702,15,True,,917,
span=union__case=B__dup=real,union,B,real,0,,15,True,,190 702 917,398:3/10; 473:1/10
span=union__case=C__dup=real,union,C,real,3,294 473 702,13,True,294 473,190 917,
span=Q__case=A__dup=real,Q,A,real,2,190 702,15,True,,917,
span=Q__case=B__dup=real,Q,B,real,0,,15,True,,190 702 917,473:1/10
span=Q__case=C__dup=real,Q,C,real,3,294 473 702,13,True,294 473,190 917,
span=D__case=A__dup=real,D,A,real,2,190 702,14,True,,917,
span=D__case=B__dup=real,D,B,real,0,,14,True,,190 702 917,398:3/10; 702:3/10; 473:1/10
span=D__case=C__dup=real,D,C,real,3,294 473 702,12,True,294 473,190 917,
span=intersection__case=A__dup=real,intersection,A,real,2,190 702,14,True,,917,
span=intersection__case=B__dup=real,intersection,B,real,0,,14,True,,190 702 917,473:1/10
span=intersection__case=C__dup=real,intersection,C,real,3,294 473 702,12,True,294 473,190 917,
span=union__case=A__dup=resolution,union,A,resolution,2,190 702,15,True,,917,
span=union__case=B__dup=resolution,union,B,resolution,0,,15,True,,190 702 917,398:5/10; 473:1/10
span=union__case=C__dup=resolution,union,C,resolution,3,294 473 702,13,True,294 473,190 917,
span=Q__case=A__dup=resolution,Q,A,resolution,2,190 702,15,True,,917,
span=Q__case=B__dup=resolution,Q,B,resolution,0,,15,True,,190 702 917,473:1/10
span=Q__case=C__dup=resolution,Q,C,resolution,3,294 473 702,13,True,294 473,190 917,
span=D__case=A__dup=resolution,D,A,resolution,2,190 702,14,True,,917,
span=D__case=B__dup=resolution,D,B,resolution,0,,14,True,,190 702 917,398:5/10; 702:3/10; 473:1/10
span=D__case=C__dup=resolution,D,C,resolution,3,294 473 702,12,True,294 473,190 917,
span=intersection__case=A__dup=resolution,intersection,A,resolution,2,190 702,14,True,,917,
span=intersection__case=B__dup=resolution,intersection,B,resolution,0,,14,True,,190 702 917,473:1/10
span=intersection__case=C__dup=resolution,intersection,C,resolution,3,294 473 702,12,True,294 473,190 917,
