world_id,span,absence_case,imputation,duplicates,built_at,git_commit,data_sha256_questionnaire,data_sha256_inhaler,note
span=D__case=A,D,A,,artefact,2026-09-25T16:45:30+00:00,87c011b493a8c05030ca46c015d9d20ea7f6605a,9e15599dc01235d472acd56a9a4a60450364db4541a50f8f91ac2c66b7e789f5,adff777b4aa141f71f82183a69412e313a91fba0d6859304b9ed9a4425731efc,build_world.py
span=D__case=A__dup=real,D,A,,real,2026-09-25T17:07:58+00:00,87c011b493a8c05030ca46c015d9d20ea7f6605a,9e15599dc01235d472acd56a9a4a60450364db4541a50f8f91ac2c66b7e789f5,adff777b4aa141f71f82183a69412e313a91fba0d6859304b9ed9a4425731efc,build_world.py
span=D__case=A__dup=resolution,D,A,,resolution,2026-09-25T17:32:00+00:00,87c011b493a8c05030ca46c015d9d20ea7f6605a,9e15599dc01235d472acd56a9a4a60450364db4541a50f8f91ac2c66b7e789f5,adff777b4aa141f71f82183a69412e313a91fba0d6859304b9ed9a4425731efc,build_world.py
span=D__case=B__k=00,D,B,0,artefact,2026-09-25T16:45:19+00:00,87c011b493a8c05030ca46c015d9d20ea7f6605a,9e15599dc01235d472acd56a9a4a60450364db4541a50f8f91ac2c66b7e789f5,adff777b4aa141f71f82183a69412e313a91fba0d6859304b9ed9a4425731efc,build_world.py
span=D__case=B__k=00__dup=real,D,B,0,real,2026-09-25T17:07:42+00:00,87c011b493a8c05030ca46c015d9d20ea7f6605a,9e15599dc01235d472acd56a9a4a60450364db4541a50f8f91ac2c66b7e789f5,adff777b4aa141f71f82183a69412e313a91fba0d6859304b9ed9a4425731efc,build_world.py
span=D__case=B__k=00__dup=resolution,D,B,0,resolution,2026-09-25T17:31:38+00:00,87c011b493a8c05030ca46c015d9d20ea7f6605a,9e15599dc01235d472acd56a9a4a60450364db4541a50f8f91ac2c66b7e789f5,adff777b4aa141f71f82183a69412e313a91fba0d6859304b9ed9a4425731efc,build_world.py
span=D__case=B__k=01,D,B,1,artefact,2026-09-25T16:45:19+00:00,87c011b493a8c05030ca46c015d9d20ea7f6605a,9e15599dc01235d472acd56a9a4a60450364db4541a50f8f91ac2c66b7e789f5,adff777b4aa141f71f82183a69412e313a91fba0d6859304b9ed9a4425731efc,build_world.py
span=D__case=B__k=01__dup=real,D,B,1,real,2026-09-25T17:07:43+00:00,87c011b493a8c05030ca46c015d9d20ea7f6605a,9e15599dc01235d472acd56a9a4a60450364db4541a50f8f91ac2c66b7e789f5,adff777b4aa141f71f82183a69412e313a91fba0d6859304b9ed9a4425731efc,build_world.py
span=D__case=B__k=01__dup=resolution,D,B,1,resolution,2026-09-25T17:31:40+00:00,87c011b493a8c05030ca46c015d9d20ea7f6605a,9e15599dc01235d472acd56a9a4a60450364db4541a50f8f91ac2c66b7e789f5,adff777b4aa141f71f82183a69412e313a91fba0d6859304b9ed9a4425731efc,build_world.py
span=D__case=B__k=02,D,B,2,artefact,2026-09-25T16:45:15+00:00,87c011b493a8c05030ca46c015d9d20ea7f6605a,9e15599dc01235d472acd56a9a4a60450364db4541a50f8f91ac2c66b7e789f5,adff777b4aa141f71f82183a69412e313a91fba0d6859304b9ed9a4425731efc,build_world.py
span=D__case=B__k=02__dup=real,D,B,2,real,2026-09-25T17:07:36+00:00,87c011b493a8c05030ca46c015d9d20ea7f6605a,9e15599dc01235d472acd56a9a4a60450364db4541a50f8f91ac2c66b7e789f5,adff777b4aa141f71f82183a69412e313a91fba0d6859304b9ed9a4425731efc,build_world.py
span=D__case=B__k=02__dup=resolution,D,B,2,resolution,2026-09-25T17:31:23+00:00,87c011b493a8c05030ca46c015d9d20ea7f6605a,9e15599dc01235d472acd56a9a4a60450364db4541a50f8f91ac2c66b7e789f5,adff777b4aa141f71f82183a69412e313a91fba0d6859304b9ed9a4425731efc,build_world.py
span=D__case=B__k=03,D,B,3,artefact,2026-09-25T16:47:10+00:00,87c011b493a8c05030ca46c015d9d20ea7f6605a,9e15599dc01235d472acd56a9a4a60450364db4541a50f8f91ac2c66b7e789f5,adff777b4aa141f71f82183a69412e313a91fba0d6859304b9ed9a4425731efc,build_world.py
span=D__case=B__k=03__dup=real,D,B,3,real,2026-09-25T17:09:32+00:00,87c011b493a8c05030ca46c015d9d20ea7f6605a,9e15599dc01235d472acd56a9a4a60450364db4541a50f8f91ac2c66b7e789f5,adff777b4aa141f71f82183a69412e313a91fba0d6859304b9ed9a4425731efc,build_world.py
span=D__case=B__k=03__dup=resolution,D,B,3,resolution,2026-09-25T17:33:35+00:00,87c011b493a8c05030ca46c015d9d20ea7f6605a,9e15599dc01235d472acd56a9a4a60450364db4541a50f8f91ac2c66b7e789f5,adff777b4aa141f71f82183a69412e313a91fba0d6859304b9ed9a4425731efc,build_world.py
span=D__case=B__k=04,D,B,4,artefact,2026-09-25T16:47:02+00:00,87c011b493a8c05030ca46c015d9d20ea7f6605a,9e15599dc01235d472acd56a9a4a60450364db4541a50f8f91ac2c66b7e789f5,adff777b4aa141f71f82183a69412e313a91fba0d6859304b9ed9a4425731efc,build_world.py
span=D__case=B__k=04__dup=real,D,B,4,real,2026-09-25T17:09:19+00:00,87c011b493a8c05030ca46c015d9d20ea7f6605a,9e15599dc01235d472acd56a9a4a60450364db4541a50f8f91ac2c66b7e789f5,adff777b4aa141f71f82183a69412e313a91fba0d6859304b9ed9a4425731efc,build_world.py
span=D__case=B__k=04__dup=resolution,D,B,4,resolution,2026-09-25T17:33:15+00:00,87c011b493a8c05030ca46c015d9d20ea7f6605a,9e15599dc01235d472acd56a9a4a60450364db4541a50f8f91ac2c66b7e789f5,adff777b4aa141f71f82183a69412e313a91fba0d6859304b9ed9a4425731efc,build_world.py
span=D__case=B__k=05,D,B,5,artefact,2026-09-25T16:47:03+00:00,87c011b493a8c05030ca46c015d9d20ea7f6605a,9e15599dc01235d472acd56a9a4a60450364db4541a50f8f91ac2c66b7e789f5,adff777b4aa141f71f82183a69412e313a91fba0d6859304b9ed9a4425731efc,build_world.py
span=D__case=B__k=05__dup=real,D,B,5,real,2026-09-25T17:09:21+00:00,87c011b493a8c05030ca46c015d9d20ea7f6605a,9e15599dc01235d472acd56a9a4a60450364db4541a50f8f91ac2c66b7e789f5,adff777b4aa141f71f82183a69412e313a91fba0d6859304b9ed9a4425731efc,build_world.py
span=D__case=B__k=05__dup=resolution,D,B,5,resolution,2026-09-25T17:33:17+00:00,87c011b493a8c05030ca46c015d9d20ea7f6605a,9e15599dc01235d472acd56a9a4a60450364db4541a50f8f91ac2c66b7e789f5,adff777b4aa141f71f82183a69412e313a91fba0d6859304b9ed9a4425731efc,build_world.py
span=D__case=B__k=06,D,B,6,artefact,2026-09-25T16:46:59+00:00,87c011b493a8c05030ca46c015d9d20ea7f6605a,9e15599dc01235d472acd56a9a4a60450364db4541a50f8f91ac2c66b7e789f5,adff777b4aa141f71f82183a69412e313a91fba0d6859304b9ed9a4425731efc,build_world.py
span=D__case=B__k=06__dup=real,D,B,6,real,2026-09-25T17:09:13+00:00,87c011b493a8c05030ca46c015d9d20ea7f6605a,9e15599dc01235d472acd56a9a4a60450364db4541a50f8f91ac2c66b7e789f5,adff777b4aa141f71f82183a69412e313a91fba0d6859304b9ed9a4425731efc,build_world.py
span=D__case=B__k=06__dup=resolution,D,B,6,resolution,2026-09-25T17:32:57+00:00,87c011b493a8c05030ca46c015d9d20ea7f6605a,9e15599dc01235d472acd56a9a4a60450364db4541a50f8f91ac2c66b7e789f5,adff777b4aa141f71f82183a69412e313a91fba0d6859304b9ed9a4425731efc,build_world.py
